"genus","body_section","body_part","meaning"
"Aenigmatias","Wingless females","Ocelli","Absent"
"Aenigmatias","Wingless females","Head shape","Short but broad"
"Aenigmatias","Wingless females","Frons","Small hairs only"
"Aenigmatias","Wingless females","Thoracic notum","Single, broader and longer than head, with convex anterior margin"
"Aenigmatias","Wingless females","Abdominal tergite 5","Undivided"
"Chonocephalus","Wingless females","Ocelli","Absent"
"Chonocephalus","Wingless females","Head shape","A little broader than long"
"Chonocephalus","Wingless females","Frons","Bristle like hairs at the sides in front of the eyes (also small hairs on the rest of the frons)"
"Chonocephalus","Wingless females","Thoracic notum","As broad as head, but clearly shorter, both anterior margin somewhat concave"
"Chonocephalus","Wingless females","Abdominal tergite 5","Undivided"
"Puliciphora","Wingless females","Ocelli","Present"
"Puliciphora","Wingless females","Abdominal tergite 5","Divided into two parts, anterior part is a semi-circular flap attached only along its straight, anterior edge"
"Aenigmatias","Wings","Vein 3 hairs",">= 5 hairs along dorsal face (may be quite fine)"
"Anevrina","Wings","Vein 3","Forked"
"Anevrina","Wings","Vein 3 hairs","Between 5 and 10 hairs on dorsal face (may be quite fine)"
"Beckerina","Wings","Vein 3","Forked"
"Beckerina","Wings","Vein 6","No sudden bend in the middle"
"Beckerina","Wings","Costa","Thickens somewhat distally"
"Beckerina","Wings","Costal cilia","Clearly longer than vein 2"
"Beckerina","Wings","Wing membrane","Conspicuously darkened"
"Borophaga","Wings","Vein 3 hairs",">= 5 hairs along dorsal face (may be quite fine)"
"Chaetopleurophora","Wings","Vein 3","Forked"
"Chaetopleurophora","Wings","Vein 3 hairs","Single hair at base on the dorsal face if has combs on hind tibiae"
"Chaetopleurophora","Wings","Vein 6","No sudden bend in the middle"
"Chonocephalus","Wings","Vein 3","Unforked (vein 2 is absent)"
"Chonocephalus","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter"
"Chonocephalus","Wings","Vein 3","Ends in a small clear vesicle just beyond the point where it meets the costa (at a small angle)"
"Chonocephalus","Wings","Vein 4","Base obliterated"
"Chonocephalus","Wings","Vein 6","No sudden bend in the middle"
"Chonocephalus","Wings","Costa","Angle between costa and end of vein 3 is small"
"Chonocephalus","Wings","Wing membrane","Greyish or greyish brown"
"Conicera","Wings","Vein sc","Ends before meeting vein 1"
"Conicera","Wings","Vein 3","Unforked (vein 2 is absent)"
"Conicera","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter"
"Conicera","Wings","Vein 6","No sudden bend in the middle"
"Diplonevra","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter or a bristle like hair at base and 1-4 finer hairs before the fork (if fork present)"
"Diplonevra","Wings","Vein 6","No sudden bend in the middle"
"Dohrniphora","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter or a bristle like hair at base and 1-4 finer hairs before the fork (if fork present)"
"Dohrniphora","Wings","Vein 6","No sudden bend in the middle"
"Gymnophora","Wings","Vein 3","Forked"
"Gymnophora","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter or a bristle like hair at base and 1-4 finer hairs before the fork (if fork present)"
"Gymnophora","Wings","Vein 6","No sudden bend in the middle"
"Gymnophora","Wings","Wing membrane","Brownish or strongly grey-ish"
"Gymnoptera","Wings","Vein sc","Runs into and coalesces with vein 1"
"Gymnoptera","Wings","Vein 3","Unforked (vein 2 is absent)"
"Gymnoptera","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter"
"Gymnoptera","Wings","Vein 6","No sudden bend in the middle"
"Hypocera","Wings","Vein 3","Unforked (vein 2 is absent)"
"Hypocera","Wings","Vein 3 hairs","3-10 hairs extending from base along the dorsal face"
"Megaselia","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter or a bristle like hair at base and 1-4 finer hairs before the fork (if fork present)"
"Megaselia","Wings","Vein 6","No sudden bend in the middle"
"Metopina","Wings","Vein 6","Sudden bend in middle, opposite and opposed to the basal curve of vein 5"
"Phalacrotophora","Wings","Vein 3","Forked"
"Phalacrotophora","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter or a bristle like hair at base and 1-4 finer hairs before the fork (if fork present)"
"Phalacrotophora","Wings","Vein 6","No sudden bend in the middle"
"Phora","Wings","Vein 3","Unforked (vein 2 is absent)"
"Phora","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter"
"Phora","Wings","Vein 6","No sudden bend in the middle"
"Pseudacteon","Wings","Vein 3","Unforked (vein 2 is absent)"
"Pseudacteon","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter"
"Pseudacteon","Wings","Vein 6","No sudden bend in the middle"
"Puliciphora","Wings","Vein 3","Unforked (vein 2 is absent)"
"Puliciphora","Wings","Vein 3 hairs","Between 0 and 3 hairs restricted to basal quarter"
"Puliciphora","Wings","Vein 3","Does not end in a vesicle and meets the costa at a wide(r) angle"
"Puliciphora","Wings","Vein 4","Base complete"
"Puliciphora","Wings","Vein 6","No sudden bend in the middle"
"Puliciphora","Wings","Costa","Angle between costa and end of vein 3 is wide(r)"
"Puliciphora","Wings","Wing membrane","Slightly greyish"
"Spiniphora","Wings","Vein 3","Forked"
"Spiniphora","Wings","Vein 6","No sudden bend in the middle"
"Triphleba","Wings","Vein 3","Forked"
"Triphleba","Wings","Vein 6","No sudden bend in the middle"
"Woodiphora","Wings","Vein 3","Forked"
"Woodiphora","Wings","Vein 6","No sudden bend in the middle"
"Woodiphora","Wings","Costa","Not thickened distally"
"Woodiphora","Wings","Costal cilia","Shorter than vein 2"
"Woodiphora","Wings","Wing membrane","Only slightly greyish"
"Beckerina","Thorax","Mesopleuron","Bare"
"Beckerina","Thorax","Mesopleural furrow","Centrally placed"
"Chaetopleurophora","Thorax","Mesopleuron","With hairs and a single long bristle near the posterior margin"
"Chaetopleurophora","Thorax","Mesopleural furrow","Absent for specimens with small and inconspicuous bristles on tibiae"
"Chonocephalus","Thorax","Mesopleural furrow","Centrally placed"
"Diplonevra","Thorax","Mesopleuron","Bare"
"Diplonevra","Thorax","Mesopleural furrow","Absent for specimens with small and inconspicuous bristles on tibiae"
"Dohrniphora","Thorax","Mesopleuron","Some hairs on upper part"
"Dohrniphora","Thorax","Mesopleural furrow","Absent for specimens with small and inconspicuous bristles on tibiae"
"Gymnophora","Thorax","Mesopleuron","Patch of fine hairs near dorsal edge"
"Gymnophora","Thorax","Mesopleural furrow","Centrally placed"
"Hypocera","Thorax","Mesopleuron","With hairs and a single long bristle near the posterior margin"
"Megaselia","Thorax","Mesopleural furrow","Centrally placed"
"Phalacrotophora","Thorax","Mesopleural furrow","Centrally placed"
"Phora","Thorax","Mesopleural furrow","Absent for specimens with small and inconspicuous bristles on tibiae"
"Pseudacteon","Thorax","Mesopleural furrow","Centrally placed"
"Puliciphora","Thorax","Mesopleural furrow","Centrally placed"
"Spiniphora","Thorax","Mesopleuron","Bare"
"Spiniphora","Thorax","Mesopleural furrow","Absent for specimens with small and inconspicuous bristles on tibiae"
"Triphleba","Thorax","Mesopleuron","Bare"
"Triphleba","Thorax","Mesopleural furrow","Absent for specimens with small and inconspicuous bristles on tibiae"
"Woodiphora","Thorax","Mesopleuron","Bare"
"Woodiphora","Thorax","Mesopleural furrow","Centrally placed"
"Aenigmatias","Legs","Hind tibiae","Simply haired or longitudinal palisades of stoutish hairs"
"Aenigmatias","Legs","Tibiae hairs","Possible hairs and hair palisades"
"Aenigmatias","Legs","Tibiae bristles","Apical bristles only"
"Anevrina","Legs","Hind tibiae","Simply haired on dorsal face"
"Anevrina","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Beckerina","Legs","Hind tibiae","Simply haired on dorsal face"
"Beckerina","Legs","Tibiae bristles","Apical bristles only"
"Borophaga","Legs","Hind tibiae","Dorsal, longitudinal palisade like row of stoutish hairs, plus isolated bristles and scattered hairs"
"Borophaga","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Chaetopleurophora","Legs","Hind tibiae","Simply haired on dorsal face or with combs"
"Chaetopleurophora","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Chonocephalus","Legs","Hind tibiae","Simply haired on dorsal face"
"Chonocephalus","Legs","Tibiae bristles","Apical bristles only"
"Conicera","Legs","Hind tibiae",">=2 true-dorsal bristles, one antero-dorsal bristle near the upper true-dorsal bristle, simply haired on dorsal face"
"Conicera","Legs","Mid tibia","<= 1 true-dorsal bristle"
"Diplonevra","Legs","Hind tibiae","2 to 3 dorsal hair palisades"
"Diplonevra","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Dohrniphora","Legs","Hind tibiae","1 dorsal hair palisade"
"Dohrniphora","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Gymnophora","Legs","Hind tibiae","Simply haired on dorsal face"
"Gymnophora","Legs","Tibiae bristles","Apical bristles only"
"Gymnoptera","Legs","Hind tibiae","Apart from apical bristles, hind tibiae have 2 antero-dorsal bristles only, one situated near end of of upper thrid and one near middle"
"Gymnoptera","Legs","Mid tibia","<= 1 true-dorsal bristle"
"Hypocera","Legs","Hind tibiae","Transverse combs of of stoutish hairs on dorsal face"
"Megaselia","Legs","Hind tibiae","Single, more or less dorsal, hair palisade. If antero-dorsal row of bristle like hair present, the longest palp bristle will be clearly more robust than upper occipitals. Postero-dorsal row of bristle like hairs always present."
"Megaselia","Legs","Front leg","Metatarsus clearly longer than fifth segment"
"Megaselia","Legs","Tibiae bristles","Apical bristles only"
"Phalacrotophora","Legs","Hind tibiae","Antero-dorsal and postero-dorsal row of bristle like hairs, with hair palisade in between. No isolated bristles apart from apical bristles"
"Phora","Legs","Hind tibiae","Simply haired on dorsal face"
"Phora","Legs","Mid tibia",">=2 true-dorsal bristles"
"Phora","Legs","Front leg","Metatarsus slightly shorter than fifth segment"
"Phora","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Pseudacteon","Legs","Hind tibiae",">=1 dorsal, longitudinal palisade like rows of stoutish hairs, plus isolated bristles and scattered hairs"
"Pseudacteon","Legs","Tibiae bristles","Apical bristles only"
"Puliciphora","Legs","Hind tibiae","Simply haired on dorsal face"
"Puliciphora","Legs","Tibiae bristles","Apical bristles only"
"Spiniphora","Legs","Hind tibiae","Simply haired on dorsal face"
"Spiniphora","Legs","Mid tibia","Anterior bristle in distal half, clearly longer than width of tibia at point of insertion"
"Spiniphora","Legs","Fore tibia","Bristle in upper two thirds that is longer than maximum breadth of the tibia, and a row of short, robust, near dorsal spines below the bristle. First two tarsal segments with a clearly differentiated, short, dorsal, apical spur"
"Spiniphora","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Triphleba","Legs","Hind tibiae","Simply haired on dorsal face"
"Triphleba","Legs","Mid tibia","Either no anterior bristle in distal half, if present, usually shorter than width of tibia at point of insertion"
"Triphleba","Legs","Fore tibia","Bristle in upper two thirds that is shorter than maximum breadth of the tibia, and usually without row of short, robust, near dorsal spines below the bristle. First two tarsal segments without a clearly differentiated, short, dorsal, apical spur"
"Triphleba","Legs","Tibiae bristles","Most tibiae have >=1 isolated bristles in upper two thirds, plus apical bristles"
"Woodiphora","Legs","Hind tibiae","Simply haired on dorsal face"
"Woodiphora","Legs","Tibiae bristles","Apical bristles only"
"Beckerina","Head","Frons bristles","Conspicuous bristles between anterior ocellus and base of antennae"
"Conicera","Head","Frons furrow","Without median furrow extending outside the region of the supra-antennal bristles"
"Conicera","Head","Antennae","Male third segment drawn out into an elongated neck"
"Conicera","Head","Arista","Inserted apically"
"Gymnophora","Head","Frons bristles","No bristles between anterior ocellus and base of antennae"
"Gymnoptera","Head","Frons furrow","Without median furrow extending outside the region of the supra-antennal bristles"
"Gymnoptera","Head","Antennae","Male third segment only slightly pointed distally"
"Gymnoptera","Head","Arista","Inserted apically"
"Megaselia","Head","Abdominal venter","Devoid of sternites 1-6"
"Megaselia","Head","Palp bristle","If antero-dorsal row of bristle-like hairs present, longest bristle more robust than upper occipital"
"Phalacrotophora","Head","Palp bristle","Only about the size of upper occipitals"
"Phora","Head","Frons furrow","Complete median furrow"
"Woodiphora","Head","Frons bristles","Conspicuous bristles between anterior ocellus and base of antennae"
"Megaselia","Abdomen","Segment 1","Tergite present"
"Megaselia","Abdomen","Segment 2","Tergite present"
"Megaselia","Abdomen","Segment 3","Papillae and tergite present"
"Megaselia","Abdomen","Segment 4","Tergite present"
"Megaselia","Abdomen","Segment 5","Tergite present"
"Megaselia","Abdomen","Segment 6","Tergite present"
"Phalacrotophora","Abdomen","Segment 1","Tergite present"
"Phalacrotophora","Abdomen","Segment 2","Tergite present"
"Phalacrotophora","Abdomen","Segment 3","Tergite present and a small, oval-to-round papillae on each side towards the front margin"
"Phalacrotophora","Abdomen","Segment 4","Tergite present"
"Phalacrotophora","Abdomen","Segment 5","Complex gland opening, tergite not present present"
"Phalacrotophora","Abdomen","Segment 6","Tergite not present"
"Phora","Abdomen","Colour","Very black"
"Pseudacteon","Abdomen","Segment 6","Distinct sternite"
"Pseudacteon","Female genitalia","Female","A down-curved pointed ovipositor"
"Megaselia","Male genitalia","Proctiger","Hairs barely stronger than those on cerci"
"Phalacrotophora","Male genitalia","Proctiger","Ends in finely feathered bristles, clearly more robust than hairs on cerci"
